name,count,scores,crime_rate
MELBOURNE,8148,3.3506,15827.16034855055
SOUTH YARRA,879,2.8,6899.756469059524
BALWYN NORTH,86,2.6667,3105.538670299908
SOUTHBANK,1434,3.2468,15827.16034855055
ASHWOOD,53,7.9231,4140.40594371167
BELGRAVE SOUTH,41,1.5,3482.8953108305464
WEST MELBOURNE,275,3.3158,15827.16034855055
DANDENONG NORTH,214,1.593,8203.788216311244
GREENSBOROUGH,227,1.4286,5660.449795373051
KENSINGTON,203,0.0907,15827.16034855055
BEAUMARIS,96,0.0612,3643.655763446149
NEWPORT,127,6.5,5003.628070902872
WERRIBEE,302,1.6842,4236.219362217122
RICHMOND,956,2.1236,10769.277615939747
PEARCEDALE,59,1.3182,4335.833193799406
ST KILDA,1334,2.0,8653.710247349823
ALPHINGTON,65,3.1429,10769.277615939747
DIAMOND CREEK,68,2.8571,2762.507506813877
DIXONS CREEK,9,2.0,3482.8953108305464
WILLIAMSTOWN,233,3.75,5003.628070902872
MITCHAM,131,1.6486,3685.6682331040433
CLAYTON SOUTH,241,2.2857,4865.661961317009
NIDDRIE,82,1.8571,5237.599993744282
CAULFIELD NORTH,429,1.281,3399.888208607937
CLAYTON,325,2.45,4140.40594371167
ELTHAM,116,1.6667,2762.507506813877
MOUNT DANDENONG,11,5.0,3482.8953108305464
BAXTER,18,4.0,7562.480172018753
DOCKLANDS,1008,2.987,15827.16034855055
NORTHCOTE,402,1.7547,7068.9132412180015
PRAHRAN,565,3.7727,6899.756469059524
BRUNSWICK EAST,255,2.4643,6045.398266611638
PARKVILLE,442,2.6829,15827.16034855055
YARRAVILLE,262,2.1429,7202.33731274689
DONCASTER,135,1.7826,2924.116390987029
PRESTON,423,2.1964,7068.9132412180015
CHELTENHAM,308,2.2105,4865.661961317009
HOPPERS CROSSING,411,2.12,4236.219362217122
FRANKSTON,415,1.8793,7562.480172018753
UPWEY,34,2.6667,3482.8953108305464
BRAYBROOK,89,2.0,7202.33731274689
NORTH MELBOURNE,401,0.0345,15827.16034855055
ALTONA NORTH,143,1.4762,5003.628070902872
