name,count,log_scores,crime_rate
MELBOURNE,8148,1.2091,15827.16034855055
SOUTH YARRA,879,1.0296,6899.756469059524
BALWYN NORTH,86,0.9808,3105.538670299908
SOUTHBANK,1434,1.1777,15827.16034855055
ASHWOOD,53,2.0698,4140.40594371167
BELGRAVE SOUTH,41,0.4055,3482.8953108305464
WEST MELBOURNE,275,1.1987,15827.16034855055
DANDENONG NORTH,214,0.4656,8203.788216311244
GREENSBOROUGH,227,0.3567,5660.449795373051
KENSINGTON,203,-2.4002,15827.16034855055
BEAUMARIS,96,-2.7936,3643.655763446149
NEWPORT,127,1.8718,5003.628070902872
WERRIBEE,302,0.5213,4236.219362217122
RICHMOND,956,0.7531,10769.277615939747
PEARCEDALE,59,0.2763,4335.833193799406
ST KILDA,1334,0.6931,8653.710247349823
ALPHINGTON,65,1.1451,10769.277615939747
DIAMOND CREEK,68,1.0498,2762.507506813877
DIXONS CREEK,9,0.6931,3482.8953108305464
WILLIAMSTOWN,233,1.3218,5003.628070902872
MITCHAM,131,0.4999,3685.6682331040433
CLAYTON SOUTH,241,0.8267,4865.661961317009
NIDDRIE,82,0.619,5237.599993744282
CAULFIELD NORTH,429,0.2476,3399.888208607937
CLAYTON,325,0.8961,4140.40594371167
ELTHAM,116,0.5108,2762.507506813877
MOUNT DANDENONG,11,1.6094,3482.8953108305464
BAXTER,18,1.3863,7562.480172018753
DOCKLANDS,1008,1.0943,15827.16034855055
NORTHCOTE,402,0.5623,7068.9132412180015
PRAHRAN,565,1.3278,6899.756469059524
BRUNSWICK EAST,255,0.9019,6045.398266611638
PARKVILLE,442,0.9869,15827.16034855055
YARRAVILLE,262,0.7622,7202.33731274689
DONCASTER,135,0.5781,2924.116390987029
PRESTON,423,0.7868,7068.9132412180015
CHELTENHAM,308,0.7932,4865.661961317009
HOPPERS CROSSING,411,0.7514,4236.219362217122
FRANKSTON,415,0.6309,7562.480172018753
UPWEY,34,0.9808,3482.8953108305464
BRAYBROOK,89,0.6931,7202.33731274689
NORTH MELBOURNE,401,-3.3668,15827.16034855055
ALTONA NORTH,143,0.3895,5003.628070902872
WANTIRNA SOUTH,231,0.8437,5216.815867355379
WINDSOR,307,1.1436,6899.756469059524
CARLTON,839,0.6302,15827.16034855055
HAWTHORN,694,0.7138,3105.538670299908
LARA,104,0.6568,6719.6104941379845
SYDENHAM,73,-0.1698,6492.137566238967
BRIGHTON,347,1.1214,3643.655763446149
NARRE WARREN EAST,3,1.0986,3482.8953108305464
PORT MELBOURNE,356,1.4816,15827.16034855055
NARRE WARREN SOUTH,114,0.4626,4335.833193799406
IVANHOE EAST,9,1.2528,5660.449795373051
LAVERTON,235,1.1314,5003.628070902872
MOUNT WAVERLEY,272,1.1093,4140.40594371167
IVANHOE,72,1.2528,5660.449795373051
THOMASTOWN,379,0.6617,5082.795246325933
CLIFTON HILL,120,1.1727,10769.277615939747
CARNEGIE,133,0.7691,3399.888208607937
FITZROY,964,0.8028,10769.277615939747
MELBOURNE AIRPORT,667,0.6419,6817.47283795467
GLEN IRIS,175,0.7147,3105.538670299908
