total,pos,neg
"('wind', 4687)","('love', 1725)","('wind', 4635)"
"('humidity', 4669)","('like', 1432)","('humidity', 4628)"
"('barometer', 4659)","('good', 1267)","('barometer', 4621)"
"('falling', 4579)","('happy', 904)","('falling', 4538)"
"('temperature', 4456)","('great', 810)","('rain', 4394)"
"('rain', 4445)","('amp', 779)","('temperature', 4384)"
"('hpa', 4418)","('day', 718)","('hpa', 4383)"
"('slowly', 3335)","('one', 717)","('slowly', 3300)"
"('love', 1808)","('night', 685)","('kmh', 956)"
"('like', 1781)","('new', 684)","('nne', 748)"
"('good', 1402)","('thanks', 643)","('fuck', 405)"
"('amp', 1100)","('time', 632)","('like', 349)"
"('one', 1065)","('best', 621)","('one', 348)"
"('kmh', 966)","('get', 608)","('nnw', 339)"
"('get', 945)","('well', 538)","('get', 337)"
"('happy', 936)","('want', 532)","('home', 332)"
"('day', 923)","('lol', 510)","('amp', 321)"
"('time', 891)","('please', 502)","('shit', 311)"
"('great', 840)","('thank', 490)","('ill', 279)"
"('night', 832)","('know', 480)","('people', 275)"
"('new', 805)","('friend', 467)","('time', 259)"
"('nne', 761)","('follow', 455)","('weather', 258)"
"('want', 759)","('amazing', 451)","('cant', 245)"
"('know', 687)","('see', 447)","('wsw', 238)"
"('thanks', 666)","('would', 379)","('temp', 237)"
"('best', 640)","('really', 373)","('want', 227)"
"('well', 636)","('hope', 370)","('know', 207)"
"('people', 629)","('cant', 367)","('stop', 207)"
"('cant', 612)","('make', 362)","('day', 205)"
"('see', 596)","('back', 362)","('hate', 205)"
"('lol', 592)","('got', 359)","('miss', 203)"
"('home', 564)","('people', 354)","('wnw', 200)"
"('please', 556)","('look', 348)","('bad', 199)"
"('make', 549)","('beautiful', 346)","('make', 187)"
"('got', 543)","('yes', 343)","('think', 185)"
"('really', 542)","('think', 341)","('got', 184)"
"('back', 530)","('haha', 334)","('never', 183)"
"('think', 526)","('birthday', 333)","('thing', 177)"
"('friend', 511)","('youre', 331)","('really', 169)"
"('thank', 507)","('life', 325)","('back', 168)"
"('follow', 505)","('going', 322)","('going', 166)"
"('would', 500)","('better', 318)","('still', 162)"
"('going', 488)","('need', 307)","('feel', 159)"
"('fuck', 485)","('yeah', 299)","('sleep', 157)"
"('youre', 484)","('guy', 297)","('sse', 156)"
"('life', 469)","('thing', 288)","('fucking', 156)"
"('look', 468)","('still', 278)","('right', 154)"
"('thing', 465)","('everyone', 275)","('say', 153)"
"('amazing', 457)","('nice', 270)","('youre', 153)"
"('need', 452)","('awesome', 269)","('see', 149)"
