hour,count,words
0,2053,"{'ugh': 432, 'con': 355, 'ass': 271, 'off': 231, 'fuck': 187, 'shit': 98, 'mean': 88, 'sly': 56, 'bitch': 42, 'mess': 36, 'sick': 34, 'beat': 34, 'babe': 34, 'dork': 33, 'brat': 27, 'crazy': 24, 'stupid': 20, 'fat': 20, 'con ': 19, 'fake': 18, 'evil': 18, 'shame': 18, 'crap': 17, 'dick': 17, 'shade': 14, 'arse': 14, 'jealous': 13, 'loser': 13, 'dumb': 12, 'ugly': 12, 'loser ': 11, 'freak': 11, 'ridiculous': 11, 'fag': 11, 'ugly ': 11, 'liar': 11, 'rude': 9, 'fool': 8, 'devil': 8, 'nobody': 7, 'moron': 6, 'fuck off': 6, 'trouble': 6, ' fool': 6, 'Satan': 5, 'horrible': 5, 'asshole': 5, 'bastard': 4, 'holy fuck': 4, 'dull': 4, 'fucker': 4, 'blind': 4, 'slut': 4, 'bad thing': 4, 'fuck it': 4, 'vile': 4, 'shut up': 4, 'whore': 3, 'nasty': 3, 'scam': 3, 'corrupt': 3, 'jerk': 3, 'sucker': 3, 'perv': 3, 'shameless': 2, 'sneaky': 2, 'reckless': 2, 'you rat': 2, 'crook': 2, 'beast': 2, 'faggot': 2, 'selfish': 2, 'coward': 2, 'beef': 2, 'scam ': 2, 'piece of shit': 2, 'shitty ': 2, 'retard': 2, 'disgusting': 2, 'tabloid': 2, 'son of a bitch': 2, 'brainwash': 1, 'pawns': 1, 'butch': 1, 'dumbass': 1, 'terrorist': 1, 'traitor': 1, 'hitman': 1, 'easy life': 1, 'pedophile': 1, 'stupid things': 1, 'get fucked': 1, 'jail': 1, 'in jail': 1, 'miserable': 1, 'imbecile': 1, 'prick': 1, 'scumbag': 1, 'backlash': 1, 'cuckoo': 1, 'turncoat': 1, 'unbearable': 1, 'whiny': 1, 'white trash': 1, 'motherfucker': 1, 'horrendous': 1, 'petty': 1, 'thug': 1, 'fuck you': 1, 'pussy': 1, 'murderer': 1, 'prude': 1, 'freaked out': 1, 'whining': 1, 'rapist': 1, 'Useless': 1, 'devilish': 1, 'oldie': 1, 'despise': 1, 'holy shit': 1}"
1,1195,"{'ugh': 240, 'con': 176, 'off': 128, 'fuck': 124, 'ass': 122, 'mean': 65, 'shit': 58, 'sly': 31, 'fat': 24, 'sick': 24, 'bitch': 23, 'babe': 20, 'mess': 20, 'beat': 20, 'brat': 16, 'crazy': 16, 'stupid': 16, 'loser': 14, 'nasty': 11, 'evil': 11, 'loser ': 11, 'arse': 11, 'dumb': 10, 'con ': 10, 'freak': 9, 'dick': 9, 'crap': 8, 'jealous': 6, 'trouble': 6, 'fuck off': 6, 'fake': 6, ' fool': 5, 'fool': 5, 'rude': 5, 'liar': 5, 'ugly': 5, 'dork': 5, 'horrible': 4, 'selfish': 4, 'shame': 4, 'Satan': 4, 'ugly ': 4, 'miserable': 4, 'ridiculous': 4, 'perv': 4, 'nobody': 4, 'whore': 3, 'blind': 3, 'slut': 3, 'ignorant': 3, 'disgusting': 3, 'retard': 3, 'fag': 3, 'pussy': 3, 'holy shit': 3, 'oldie': 3, 'bastard': 3, 'vile': 3, 'mafia': 3, 'fuck you': 2, 'prick': 2, 'fucker': 2, 'white trash': 2, 'talking shit': 2, 'imbecile': 2, 'moron': 2, 'beef': 2, 'terrorist': 2, 'posh': 2, 'corrupt': 2, 'yuck': 2, 'shitty ': 2, 'jerk': 2, 'reckless': 2, 'rapist': 2, 'dishonest': 2, 'fucking annoying': 2, 'murderer': 1, 'smug': 1, 'suck a dick': 1, 'devil': 1, 'stupid things': 1, 'holy fuck': 1, 'freaked out': 1, 'cynical': 1, 'helluva': 1, 'bad thing': 1, 'shade': 1, 'asshole': 1, 'stupid people': 1, 'horrendous': 1, 'shameless': 1, 'obnoxious': 1, 'frustrated': 1, 'traitor': 1, 'abject': 1, 'backlash': 1, 'wimp': 1, 'mediocre': 1, 'jail': 1, 'scam': 1, 'get fucked': 1, 'beast': 1, 'thug': 1, 'brainwash': 1, 'dull': 1, 'you rat': 1, 'faggot': 1, 'butch': 1, 'discard ': 1, 'poor man': 1, 'drug dealer': 1, 'unreasonable': 1}"
2,809,"{'ugh': 271, 'con': 98, 'ass': 87, 'fuck': 73, 'off': 70, 'shit': 49, 'mean': 30, 'bitch': 17, 'sly': 13, 'crazy': 13, 'fat': 13, 'mess': 13, 'babe': 11, 'shame': 10, 'loser': 10, 'sick': 10, 'stupid': 9, 'loser ': 9, 'arse': 7, 'brat': 7, 'beat': 7, 'crap': 6, 'fuck you': 5, 'freak': 5, 'con ': 5, 'fake': 5, 'dick': 5, 'asshole': 4, 'reckless': 4, ' fool': 4, 'fool': 4, 'vile': 3, 'horrible': 3, 'shade': 3, 'holy shit': 3, 'ugly': 3, 'ugly ': 3, 'fucker': 3, 'liar': 3, 'dumb': 3, 'nobody': 3, 'jealous': 3, 'pussy': 3, 'corrupt': 2, 'oldie': 2, 'terrorist': 2, 'evil': 2, 'beast': 2, 'motherfucker': 2, 'jerk': 2, 'whining': 2, 'ridiculous': 2, 'blind': 2, 'fag': 1, 'faggot': 1, 'shitty ': 1, 'dork': 1, 'rapist': 1, 'fuck off': 1, 'freaked out': 1, 'shut up': 1, 'disgusting': 1, 'sheeps': 1, 'murderer': 1, 'sucker': 1, 'despicable': 1, 'wretched': 1, 'retard': 1, 'crook': 1, 'smug': 1, 'jail': 1, 'in jail': 1, 'rude': 1, 'cheater': 1, 'pedophile': 1, 'brainwash': 1, 'bastard': 1, 'scam': 1, 'scam ': 1, 'slut': 1, 'moron': 1, 'piece of shit ': 1, 'piece of shit': 1, 'toilet paper ': 1, 'coward': 1}"
3,520,"{'ugh': 164, 'con': 68, 'off': 53, 'fuck': 47, 'ass': 41, 'shit': 30, 'mean': 23, 'beat': 14, 'sly': 11, 'stupid': 11, 'mess': 10, 'bitch': 9, 'sick': 8, 'fat': 7, 'crazy': 6, 'brat': 6, 'loser': 5, 'loser ': 5, 'evil': 4, 'crap': 4, 'horrible': 4, 'fake': 3, 'blind': 3, 'freak': 3, 'babe': 3, 'ugly': 2, 'jealous': 2, 'devil': 2, 'bastard': 2, 'disgusting': 2, 'pussy': 2, 'shame': 2, 'nasty': 2, 'dick': 2, 'fuck you': 2, 'trouble': 2, 'arse': 2, 'nobody': 2, 'spoiled': 1, 'unbearable': 1, 'worthless': 1, 'horrendous': 1, 'moron': 1, 'ugly ': 1, 'vulture': 1, 'con ': 1, 'vile': 1, 'fag': 1, 'murderer': 1, 'rapist': 1, 'shade': 1, 'brainwash': 1, 'wretched': 1, 'robber': 1, 'asshole': 1, 'obnoxious': 1, 'gangster': 1, 'dumb': 1, 'rude': 1, 'Satan': 1, 'fucker': 1, 'fucking annoying': 1, 'scammer': 1, 'scam': 1, ' scammer': 1, 'holy shit': 1, 'scumbag': 1, 'beast': 1, 'vandalism': 1, 'liar': 1, 'reckless': 1}"
4,300,"{'ugh': 56, 'con': 50, 'ass': 37, 'off': 33, 'fuck': 28, 'shit': 18, 'mean': 15, 'sick': 8, 'fat': 6, 'beat': 6, 'mess': 5, 'crazy': 4, 'stupid': 3, 'shade': 3, 'sly': 3, 'con ': 3, 'evil': 3, 'reckless': 3, 'dick': 3, 'babe': 3, 'perv': 2, 'bitch': 2, 'blow off': 2, 'horrible': 2, 'fucker': 2, 'oldie': 2, 'devil': 2, 'cynical': 2, 'liar': 2, 'freak': 2, 'scam': 2, 'scam ': 2, 'dumb': 2, 'disgusting': 2, 'pussy': 2, 'terrorist': 1, 'holy shit': 1, 'fuck you': 1, 'asshole': 1, 'jealous': 1, 'nobody': 1, 'coward': 1, 'suck it': 1, 'smug': 1, 'dull': 1, 'blind': 1, 'motherfucker': 1, 'shame': 1, 'brat': 1, 'trouble': 1, 'thug': 1, 'vile': 1, 'beast': 1, 'ridiculous': 1, 'vulture': 1, 'fuck off': 1, 'arse': 1, 'whore': 1, 'shitty ': 1, 'selfish': 1}"
5,345,"{'ugh': 77, 'con': 59, 'off': 55, 'ass': 54, 'fuck': 27, 'mean': 14, 'shit': 12, 'evil': 8, 'babe': 8, 'sick': 6, 'crap': 6, 'fat': 5, 'sly': 5, 'crazy': 4, 'loser': 4, 'beat': 4, 'perv': 4, 'brat': 4, 'loser ': 3, 'arse': 3, 'reckless': 2, 'fuck you': 2, 'mess': 2, 'fag': 2, 'slut': 2, 'shame': 2, 'liar': 2, 'dumb': 2, 'asshole': 2, 'dick': 1, 'con ': 1, 'devil': 1, 'whore': 1, 'retard': 1, 'jealous': 1, 'horrible': 1, 'bastard': 1, 'faggot': 1, 'trouble': 1, 'despicable': 1, 'disgusting': 1, 'moron': 1, 'fucking annoying': 1, 'nasty': 1, 'frustrated': 1, 'dull': 1, 'beef': 1, 'butch': 1, 'shade': 1, 'dumbass': 1, 'shitty ': 1, 'freak': 1, 'bitch': 1, 'fake': 1, 'stupid': 1, 'Satan': 1, 'holy shit': 1, 'rotten': 1, 'terrorist': 1, 'crook': 1}"
6,790,"{'ugh': 153, 'off': 152, 'con': 146, 'ass': 93, 'mean': 42, 'fuck': 30, 'shit': 30, 'babe': 20, 'sly': 18, 'sick': 16, 'fat': 15, 'brat': 12, 'bitch': 11, 'crazy': 11, 'mess': 10, 'evil': 9, 'liar': 9, 'beat': 8, 'crap': 8, 'stupid': 6, 'arse': 5, 'trouble': 5, 'rude': 5, 'ugly': 4, 'dumb': 4, 'dick': 4, 'loser': 4, 'shade': 4, 'freak': 4, 'shame': 4, 'bastard': 4, 'ridiculous': 4, 'beef': 3, 'shut up': 3, 'terrorist': 3, 'con ': 3, 'crook': 3, 'reckless': 2, 'perv': 2, 'beast': 2, 'ugly ': 2, 'loser ': 2, 'nobody': 2, 'jealous': 2, 'shitty ': 2, 'oldie': 2, 'slut': 2, 'scam': 2, 'scumbag': 2, 'ignorant': 2, 'fake': 2, 'jerk': 2, 'mafia': 1, 'toilet paper ': 1, 'worthless': 1, 'Satan': 1, 'whore': 1, 'dishonest': 1, 'smug': 1, 'asshole': 1, 'brainwash': 1, 'jail': 1, 'devil': 1, 'bad thing': 1, 'scam ': 1, 'fraud': 1, 'trashbag': 1, 'miserable': 1, 'nasty': 1, 'butch': 1, 'freaked out': 1, 'troublemakers': 1, 'troublemaker': 1, 'rapist': 1, 'get fucked': 1, 'imbecile': 1, 'shameless': 1, 'selfish': 1}"
7,1875,"{'off': 414, 'ugh': 406, 'con': 320, 'ass': 225, 'mean': 131, 'fuck': 64, 'shit': 57, 'sly': 52, 'babe': 26, 'mess': 26, 'crazy': 25, 'brat': 23, 'fat': 19, 'sick': 18, 'con ': 17, 'arse': 17, 'beat': 17, 'evil': 14, 'stupid': 13, 'shame': 13, 'crap': 11, 'loser': 11, 'shade': 11, 'bitch': 10, 'nobody': 8, 'loser ': 8, 'dick': 8, 'freak': 7, 'trouble': 7, 'jealous': 7, 'rude': 7, 'ridiculous': 7, 'blind': 6, 'terrorist': 6, 'oldie': 5, 'fucker': 4, 'fake': 4, 'disgusting': 4, 'perv': 4, 'vile': 3, 'beast': 3, 'dumb': 3, 'holy shit': 3, 'smug': 3, 'liar': 3, 'jail': 3, 'moron': 3, 'shut up': 3, 'ignorant': 3, 'thug': 3, 'slut': 2, 'scumbag': 2, 'petty': 2, 'corrupt': 2, 'vulture': 2, 'barf': 2, 'bastard': 2, 'whore': 2, 'shitty ': 2, 'retard': 2, 'sucker': 2, ' fool': 2, 'fool': 2, 'nasty': 2, 'crook': 2, 'ugly': 2, 'ugly ': 2, 'fuck off': 2, 'freaked out': 1, 'coward': 1, 'horrendous': 1, 'rapist': 1, 'drug dealer': 1, 'dork': 1, 'frustrated': 1, 'asshole': 1, 'reckless': 1, 'yuck': 1, 'mafia': 1, 'sheeps': 1, 'crass': 1, 'piece of shit': 1, 'fraud': 1, 'prick': 1, 'scam': 1, 'scam ': 1, 'mercenary': 1, 'butch': 1, 'selfish': 1, 'sneaky': 1, 'toilet paper ': 1, 'fag': 1, 'motherfucker': 1, 'Satan': 1, 'devil': 1, 'horrible': 1, 'shameless': 1, 'fuck it': 1, 'fucking ugly': 1, 'spineless': 1, 'brainwash': 1, 'despise': 1, 'beef': 1, 'jerk': 1, 'pussy': 1, 'gangster': 1, 'commie': 1, 'dull': 1, 'repulsive': 1, 'bad thing': 1}"
8,2720,"{'off': 672, 'ugh': 546, 'con': 459, 'ass': 333, 'mean': 141, 'fuck': 101, 'shit': 73, 'sly': 64, 'mess': 41, 'brat': 38, 'babe': 35, 'fat': 33, 'crazy': 32, 'sick': 32, 'con ': 31, 'stupid': 28, 'beat': 26, 'bitch': 22, 'crap': 21, 'dumb': 15, 'arse': 13, 'evil': 13, 'perv': 12, 'loser': 11, 'trouble': 10, 'dick': 10, 'horrible': 9, 'fake': 9, 'slut': 8, 'blind': 8, 'shame': 8, 'freak': 8, 'moron': 8, 'bastard': 7, 'prick': 7, 'devil': 7, 'disgusting': 7, 'rude': 6, 'ridiculous': 6, ' fool': 6, 'fool': 6, 'liar': 6, 'loser ': 6, 'oldie': 6, 'terrorist': 5, 'ugly': 5, 'corrupt': 5, 'jail': 5, 'ignorant': 5, 'nobody': 5, 'beef': 4, 'beast': 4, 'jealous': 4, 'fuck off': 4, 'vile': 4, 'dork': 4, 'bad thing': 4, 'sheeps': 4, 'shade': 4, 'horrendous': 4, 'scumbag': 3, 'sneaky': 3, 'fuck you': 3, 'selfish': 3, 'reckless': 3, 'scam': 3, 'sucker': 3, 'scam ': 2, 'frustrated': 2, 'thug': 2, 'despicable': 2, 'shameless': 2, 'pussy': 2, 'Satan': 2, 'ugly ': 2, 'go crazy': 2, 'shut up': 2, 'mediocre': 2, 'asshole': 2, 'fraud': 2, 'suck it': 2, 'crook': 2, 'unbearable': 2, 'shitty ': 2, 'smug': 2, 'fucker': 2, 'jerk': 2, 'puppets': 1, 'barf': 1, 'fuck it': 1, 'traitor': 1, 'stupid things': 1, 'pedophile': 1, 'whore': 1, 'holy shit': 1, 'crass': 1, 'coward': 1, 'suck a dick': 1, 'vulture': 1, 'it girl': 1, 'dumb shit': 1, 'motherfucker': 1, 'talking shit': 1, 'nose in': 1, 'get fucked': 1, 'abnormal': 1, 'drug dealer': 1, 'viper': 1, 'thief': 1, 'poor man': 1, 'immoral': 1, 'butch': 1, 'dull': 1, 'retard': 1, 'tyrant': 1, 'vandalism': 1, 'murderer': 1, 'dishonest': 1, 'piece of shit': 1, 'rapist': 1, 'rotten': 1, 'miserable': 1, 'fag': 1, 'Useless': 1, 'leftist': 1, 'obnoxious ': 1, 'obnoxious': 1, 'pawns': 1, 'nasty': 1}"
9,2962,"{'off': 661, 'con': 614, 'ugh': 603, 'ass': 391, 'mean': 112, 'fuck': 107, 'shit': 91, 'sly': 63, 'brat': 49, 'con ': 39, 'sick': 37, 'fat': 37, 'mess': 37, 'crazy': 34, 'beat': 30, 'stupid': 22, 'bitch': 21, 'crap': 21, 'babe': 17, 'evil': 17, 'dick': 16, 'shame': 16, 'arse': 16, 'perv': 13, 'loser': 13, 'liar': 12, 'ridiculous': 11, 'fake': 10, 'trouble': 9, 'fool': 9, 'disgusting': 9, 'loser ': 9, 'dumb': 9, 'freak': 9, 'oldie': 9, 'shade': 8, 'rude': 8, 'jealous': 8, 'horrible': 8, 'vile': 7, 'bastard': 7, 'moron': 7, 'fag': 6, ' fool': 6, 'blind': 6, 'terrorist': 5, 'imbecile': 5, 'shitty ': 5, 'Satan': 5, 'beef': 4, 'rotten': 4, 'holy shit': 4, 'nobody': 4, 'despicable': 4, 'sneaky': 4, 'ugly': 4, 'selfish': 4, 'jail': 4, 'crook': 4, 'slut': 3, 'scam': 3, 'piece of shit': 3, 'beast': 3, 'retard': 3, 'prick': 3, 'miserable': 3, 'rapist': 3, 'ugly ': 3, 'sucker': 3, 'jerk': 3, 'whore': 2, 'you rat': 2, 'thief': 2, 'suck it': 2, 'scam ': 2, 'thug': 2, 'piece of shit ': 2, 'faggot': 2, 'frustrated': 2, 'dull': 2, 'pussy': 2, 'asshole': 2, 'fuck it': 2, 'shut up': 2, 'freaked out': 2, 'scumbag': 2, 'horrendous': 2, 'stupid things': 2, 'backlash': 2, 'fuck off': 2, 'sheeps': 1, 'nasty': 1, 'turncoat': 1, 'hellish': 1, 'fucking annoying': 1, 'smug': 1, 'commie': 1, 'get fucked': 1, 'fuck you': 1, 'sleazy': 1, 'loserl': 1, 'scared shitless': 1, 'holy fuck': 1, 'nastu': 1, 'stupid people': 1, 'pedophile': 1, 'devil': 1, 'pawns': 1, 'petty': 1, 'reckless': 1, 'corrupt': 1, 'white trash': 1, 'Useless': 1, 'fraud': 1, 'coward': 1, 'mediocre': 1, 'gangster': 1, 'spoiled': 1, 'dork': 1, 'white collar': 1, 'misogynist ': 1, 'in jail': 1, 'traitor': 1, 'unbearable': 1}"
