,id,coordinates,lang,text,neg,neu,pos,compound
0,ec1c77f341246271e9d88c26c200452a,"{'type': 'Point', 'coordinates': [144.98396523, -37.82493382]}",en,it was incredible seeing both vancejoy and taylorswift perform last night  an unforgettable show httpstcovdzpzxx5ya,0.0,1.0,0.0,0.0
1,ec1c77f341246271e9d88c26c2011f40,"{'type': 'Point', 'coordinates': [144.9844055, -37.8563995]}",en,checked out the japanese  restaurant across the road from our place last night very impressed httpstco4opxilr6n5,0.0,0.816,0.184,0.5256
2,ec1c77f341246271e9d88c26c2025854,"{'type': 'Point', 'coordinates': [144.9979858, -37.8262253]}",en, about last nights dinner  foodporn foodcoma seafood feast seriousmeals httpstco4y1cqc0pmd,0.0,1.0,0.0,0.0
3,ec1c77f341246271e9d88c26c204e675,"{'type': 'Point', 'coordinates': [144.97509788, -37.87539563]}",en,girls night with my loves chandellierrose b1nd1r at the riva christmas party thank you drewe httpstcocbakyqsfdm,0.0,0.594,0.406,0.836
4,ec1c77f341246271e9d88c26c205ddc0,"{'type': 'Point', 'coordinates': [144.98396523, -37.82493382]}",en,exclusive footage of me running towards taylorswift on stage last night 1989tour httpstcoz3b40dy5iy,0.0,0.889,0.111,0.128
5,ec1c77f341246271e9d88c26c206077f,"{'type': 'Point', 'coordinates': [145.00401156, -37.83590252]}",en,this is one of the best nights of christmas carols by candlelight love it como christmas httpstcohybpqng68p,0.0,0.641,0.359,0.8555
6,ec1c77f341246271e9d88c26c20c1c58,"{'type': 'Point', 'coordinates': [144.95123579, -37.82392347]}",en,the carlins crew celebrating another great year at plus5melb on saturday night  whatacrew httpstcob8sbnri6ed,0.0,0.606,0.394,0.8316
7,ec1c77f341246271e9d88c26c20da712,"{'type': 'Point', 'coordinates': [144.91648613, -37.78252708]}",en,10 parma night tonight kicks off 5pm sharp parma pacinos foodstagram  pacinos italian httpstcoxmvhzwmpl7,0.0,1.0,0.0,0.0
8,ec1c77f341246271e9d88c26c20f6ce9,"{'type': 'Point', 'coordinates': [144.973629, -37.86507772]}",en,last nights sunset on st kilda beach with roseosborne20 lookingforpeguins australia travel httpstcofecu9zzull,0.0,1.0,0.0,0.0
9,ec1c77f341246271e9d88c26c21172f5,"{'type': 'Point', 'coordinates': [145.130002, -37.756862]}",en,christmas party number 2 for the night  vibrante restaurant in templestowe vic httpstcoyyrkgbgvoh,0.0,0.714,0.286,0.4588
