Suburbs,Sentiment,total,scores,log_scores
MORNINGTON,"{'pos': 23, 'neg': 7}",30,3.0,1.0986
MELBOURNE,"{'pos': 2331, 'neg': 695}",3026,3.3506,1.2091
SOUTH YARRA,"{'pos': 237, 'neg': 84}",321,2.8,1.0296
BALWYN NORTH,"{'pos': 47, 'neg': 17}",64,2.6667,0.9808
SOUTHBANK,"{'neg': 153, 'pos': 499}",652,3.2468,1.1777
ASHWOOD,"{'pos': 102, 'neg': 12}",114,7.9231,2.0698
BELGRAVE SOUTH,"{'neg': 3, 'pos': 5}",8,1.5,0.4055
WEST MELBOURNE,"{'pos': 62, 'neg': 18}",80,3.3158,1.1987
DANDENONG NORTH,"{'pos': 136, 'neg': 85}",221,1.593,0.4656
GREENSBOROUGH,"{'pos': 29, 'neg': 20}",49,1.4286,0.3567
KENSINGTON,"{'neg': 738, 'pos': 66}",804,0.0907,-2.4002
BEAUMARIS,"{'neg': 244, 'pos': 14}",258,0.0612,-2.7936
NEWPORT,"{'pos': 25, 'neg': 3}",28,6.5,1.8718
WERRIBEE,"{'pos': 127, 'neg': 75}",202,1.6842,0.5213
RICHMOND,"{'pos': 188, 'neg': 88}",276,2.1236,0.7531
PEARCEDALE,"{'pos': 28, 'neg': 21}",49,1.3182,0.2763
ST KILDA,"{'neg': 220, 'pos': 441}",661,2.0,0.6931
ALPHINGTON,"{'pos': 21, 'neg': 6}",27,3.1429,1.1451
DIAMOND CREEK,"{'pos': 19, 'neg': 6}",25,2.8571,1.0498
DIXONS CREEK,"{'pos': 1, 'neg': 0}",1,2.0,0.6931
WILLIAMSTOWN,"{'pos': 59, 'neg': 15}",74,3.75,1.3218
MITCHAM,"{'pos': 60, 'neg': 36}",96,1.6486,0.4999
CLAYTON SOUTH,"{'pos': 287, 'neg': 125}",412,2.2857,0.8267
NIDDRIE,"{'pos': 38, 'neg': 20}",58,1.8571,0.619
CAULFIELD NORTH,"{'neg': 120, 'pos': 154}",274,1.281,0.2476
CLAYTON,"{'pos': 97, 'neg': 39}",136,2.45,0.8961
ELTHAM,"{'pos': 24, 'neg': 14}",38,1.6667,0.5108
MOUNT DANDENONG,"{'pos': 9, 'neg': 1}",10,5.0,1.6094
BAXTER,"{'pos': 3, 'neg': 0}",3,4.0,1.3863
DOCKLANDS,"{'pos': 229, 'neg': 76}",305,2.987,1.0943
NORTHCOTE,"{'pos': 92, 'neg': 52}",144,1.7547,0.5623
PRAHRAN,"{'pos': 165, 'neg': 43}",208,3.7727,1.3278
BRUNSWICK EAST,"{'pos': 68, 'neg': 27}",95,2.4643,0.9019
PARKVILLE,"{'pos': 109, 'neg': 40}",149,2.6829,0.9869
YARRAVILLE,"{'neg': 34, 'pos': 74}",108,2.1429,0.7622
DONCASTER,"{'neg': 22, 'pos': 40}",62,1.7826,0.5781
PRESTON,"{'neg': 55, 'pos': 122}",177,2.1964,0.7868
CHELTENHAM,"{'pos': 83, 'neg': 37}",120,2.2105,0.7932
HOPPERS CROSSING,"{'neg': 74, 'pos': 158}",232,2.12,0.7514
FRANKSTON,"{'pos': 108, 'neg': 57}",165,1.8793,0.6309
UPWEY,"{'pos': 7, 'neg': 2}",9,2.6667,0.9808
BRAYBROOK,"{'neg': 14, 'pos': 29}",43,2.0,0.6931
NORTH MELBOURNE,"{'neg': 3711, 'pos': 127}",3838,0.0345,-3.3668
ALTONA NORTH,"{'pos': 30, 'neg': 20}",50,1.4762,0.3895
WANTIRNA SOUTH,"{'neg': 39, 'pos': 92}",131,2.325,0.8437
WINDSOR,"{'pos': 90, 'neg': 28}",118,3.1379,1.1436
CARLTON,"{'pos': 230, 'neg': 122}",352,1.878,0.6302
HAWTHORN,"{'pos': 195, 'neg': 95}",290,2.0417,0.7138
LARA,"{'pos': 53, 'neg': 27}",80,1.9286,0.6568
SYDENHAM,"{'neg': 31, 'pos': 26}",57,0.8438,-0.1698
BRIGHTON,"{'pos': 88, 'neg': 28}",116,3.069,1.1214
NARRE WARREN EAST,"{'pos': 2, 'neg': 0}",2,3.0,1.0986
PORT MELBOURNE,"{'pos': 65, 'neg': 14}",79,4.4,1.4816
NARRE WARREN SOUTH,"{'pos': 53, 'neg': 33}",86,1.5882,0.4626
IVANHOE EAST,"{'pos': 6, 'neg': 1}",7,3.5,1.2528
LAVERTON,"{'pos': 123, 'neg': 39}",162,3.1,1.1314
MOUNT WAVERLEY,"{'neg': 30, 'pos': 93}",123,3.0323,1.1093
IVANHOE,"{'pos': 20, 'neg': 5}",25,3.5,1.2528
THOMASTOWN,"{'pos': 249, 'neg': 128}",377,1.938,0.6617
CLIFTON HILL,"{'pos': 41, 'neg': 12}",53,3.2308,1.1727
CARNEGIE,"{'pos': 40, 'neg': 18}",58,2.1579,0.7691
