suburb,count,words
ABBOTSFORD,360,"{'con': 90, 'off': 87, 'ugh': 70, 'ass': 38, 'shit': 11, 'mean': 11, 'fuck': 10, 'babe': 9, 'sly': 8, 'fat': 5, 'brat': 5, 'crazy': 4, 'beat': 4, 'sick': 4, 'freak': 4, 'con ': 4, 'rude': 3, 'bitch': 3, 'shame': 3, 'fuck you': 3, 'dumb': 3, 'dick': 2, 'fake': 2, 'shade': 2, 'arse': 2, 'stupid': 2, 'mess': 2, 'spoiled': 1, 'moron': 1, 'liar': 1, 'smug': 1, 'thug': 1, 'fool': 1, 'backlash': 1, 'crap': 1, 'frustrated': 1, 'freaked out': 1, 'pussy': 1, 'fuck off': 1, 'beef': 1, 'perv': 1, 'bastard': 1, 'loser': 1, 'loser ': 1, 'disgusting': 1, 'fuck it': 1, 'beast': 1, 'nose in': 1, 'get fucked': 1, 'butch': 1}"
ABERFELDIE,50,"{'con': 18, 'off': 9, 'ugh': 9, 'beat': 4, 'ass': 3, 'shit': 3, 'con ': 1, 'cynical': 1, 'dick': 1, 'crazy': 1, ' fool': 1, 'fraud': 1, 'fool': 1, 'shame': 1, 'fat': 1, 'sly': 1, 'fuck': 1}"
AINTREE,3,"{'ass': 2, 'ugh': 1}"
AIRPORT WEST,59,"{'con': 14, 'ugh': 11, 'off': 7, 'shit': 7, 'ass': 5, 'brat': 4, 'crazy': 3, 'fuck': 3, 'beat': 2, 'disgusting': 1, 'blind': 1, 'liar': 1, 'prick': 1, 'arse': 1, 'evil': 1, 'mess': 1, 'dull': 1, 'smug': 1}"
ALBANVALE,26,"{'con': 6, 'ugh': 5, 'off': 2, 'shit': 2, 'stupid': 2, 'babe': 2, 'ass': 2, 'sick': 2, 'bitch': 1, 'trouble': 1, 'fuck': 1, 'sly': 1, 'rude': 1, 'crap': 1}"
ALBERT PARK,207,"{'off': 51, 'con': 43, 'ass': 31, 'ugh': 30, 'sly': 7, 'shit': 5, 'mean': 5, 'brat': 4, 'freak': 4, 'babe': 3, 'beast': 3, 'shade': 3, 'mess': 3, 'fuck': 3, 'beef': 2, 'ridiculous': 2, 'beat': 2, 'perv': 2, 'crazy': 2, 'petty': 1, 'dork': 1, 'vile': 1, 'nastu': 1, 'trouble': 1, 'jealous': 1, 'con ': 1, 'get fucked': 1, 'crap': 1, 'crook': 1, 'you rat': 1, 'fat': 1, 'disgusting': 1, 'bastard': 1, 'dick': 1, 'smug': 1, 'loser': 1, 'loser ': 1, 'oldie': 1, 'horrendous': 1, 'horrible': 1}"
ALBION,27,"{'con': 6, 'ugh': 4, 'mean': 3, 'shame': 2, 'ass': 2, 'shit': 2, 'arse': 2, 'beat': 1, 'fuck': 1, 'shade': 1, 'evil': 1, 'bitch': 1, 'bastard': 1, 'it girl': 1, 'off': 1}"
ALPHINGTON,65,"{'off': 16, 'ass': 13, 'ugh': 10, 'con': 9, 'brat': 4, 'mess': 2, 'fat': 1, 'bitch': 1, 'mafia': 1, 'sneaky': 1, 'sly': 1, 'crazy': 1, 'mean': 1, 'liar': 1, 'jerk': 1, 'fake': 1, 'unbearable': 1}"
ALTONA,175,"{'ugh': 42, 'off': 36, 'con': 21, 'ass': 20, 'shit': 11, 'mean': 9, 'fuck': 6, 'shame': 6, 'corrupt': 5, 'freak': 5, 'beat': 4, 'sick': 4, 'babe': 2, 'dick': 2, 'sneaky': 2, 'arse': 2, 'crap': 2, 'con ': 1, 'worthless': 1, 'beef': 1, 'crazy': 1, 'you rat': 1, 'ridiculous': 1, ' fool': 1, 'fool': 1, 'trouble': 1, 'fat': 1, 'fake': 1, 'jealous': 1, 'evil': 1, 'sucker': 1, 'disgusting': 1, 'nobody': 1, 'liar': 1, 'bastard': 1, 'shade': 1, 'horrible': 1}"
ALTONA MEADOWS,74,"{'ugh': 20, 'con': 17, 'off': 10, 'ass': 9, 'mean': 4, 'beat': 3, 'sick': 2, 'shit': 2, 'brat': 2, 'fake': 1, 'mess': 1, 'fuck': 1, 'you rat': 1, 'crazy': 1, 'dumb': 1, 'shade': 1, 'freaked out': 1, 'freak': 1, 'horrible': 1}"
ALTONA NORTH,143,"{'ugh': 30, 'con': 21, 'off': 20, 'ass': 16, 'mean': 9, 'shit': 6, 'fuck': 6, 'sick': 4, 'crap': 4, 'beat': 3, 'arse': 3, 'trouble': 3, 'sly': 2, 'liar': 2, 'brat': 2, 'smug': 2, 'fat': 2, 'fucker': 2, 'stupid': 2, 'ridiculous': 1, 'bribe': 1, 'butch': 1, 'beast': 1, 'mess': 1, 'dick': 1, 'shut up': 1, 'blind': 1, 'mind your own business': 1, 'perv': 1, 'yuck': 1, 'slut': 1, 'loser': 1, 'horrible': 1, 'dumb': 1, 'evil': 1, 'shitty ': 1, 'selfish': 1, 'jealous': 1, 'motherfucker': 1, 'dishonest': 1}"
ARDEER,4,"{'fuck': 2, 'ugh': 1, 'ass': 1, 'shit': 1, 'off': 1}"
ARMADALE,183,"{'con': 35, 'ass': 34, 'ugh': 34, 'off': 30, 'fuck': 10, 'shit': 9, 'sly': 6, 'arse': 5, 'con ': 4, 'beat': 3, 'mean': 3, 'shame': 3, 'stupid': 3, 'fat': 3, 'ridiculous': 2, 'sick': 2, 'moron': 2, 'dork': 2, 'dick': 2, 'terrorist': 2, 'whore': 2, 'blind': 2, 'fuck off': 1, 'mess': 1, 'brat': 1, 'fuck you': 1, 'get fucked': 1, 'stupid things': 1, 'petty': 1, 'jail': 1, ' fool': 1, 'fool': 1, 'shut up': 1, 'selfish': 1}"
ARTHURS CREEK,3,"{'con': 1, 'blind': 1, 'ass': 1}"
ASCOT VALE,175,"{'con': 37, 'off': 30, 'ugh': 26, 'ass': 26, 'mess': 7, 'mean': 7, 'fuck': 6, 'sly': 4, 'shit': 4, 'brat': 3, 'fat': 3, 'beef': 3, 'freak': 3, 'beat': 2, 'stupid': 2, 'babe': 2, 'con ': 2, 'bitch': 2, 'bastard': 1, 'butch': 1, 'terrorist': 1, 'blind': 1, 'corrupt': 1, 'crazy': 1, 'jealous': 1, 'beast': 1, 'asshole': 1, 'whore': 1, 'selfish': 1, 'fag': 1, 'sick': 1, 'liar': 1, 'evil': 1, 'devil': 1, 'reckless': 1, 'trouble': 1, 'gangster': 1}"
ASHBURTON,41,"{'off': 18, 'con': 6, 'ugh': 5, 'sly': 3, 'mean': 2, 'shame': 2, 'jail': 1, 'freaked out': 1, 'freak': 1, 'shameless': 1, 'thug': 1, 'rude': 1, 'mess': 1, 'loser': 1, 'shit': 1, 'fuck': 1, 'rapist': 1, 'ass': 1}"
ASHWOOD,53,"{'ugh': 13, 'con': 12, 'off': 8, 'ass': 4, 'sick': 3, 'mean': 3, 'fuck': 3, 'dick': 1, 'bitch': 1, 'fake': 1, 'crazy': 1, 'arse': 1, 'shame': 1, 'fat': 1, 'shit': 1, 'mess': 1, 'crap': 1, 'dumb': 1}"
ASPENDALE,30,"{'ugh': 7, 'con': 5, 'off': 4, 'shit': 3, 'fuck': 2, 'ugly': 2, 'ass': 2, 'brat': 1, 'fat': 1, 'rapist': 1, 'babe': 1, 'evil': 1, 'devil': 1, 'mean': 1, 'fuck it': 1, 'Useless': 1, 'mess': 1}"
ASPENDALE GARDENS,50,"{'con': 11, 'ugh': 9, 'off': 5, 'fuck': 5, 'ass': 4, 'freak': 4, 'shit': 3, 'sly': 2, 'babe': 1, 'dumb': 1, 'sick': 1, 'brat': 1, 'petty': 1, 'arse': 1, 'mean': 1, 'dick': 1, 'beat': 1, 'crazy': 1, 'blind': 1}"
ATTWOOD,27,"{'ass': 10, 'off': 5, 'shit': 5, 'ugh': 4, 'con': 2, 'fuck': 1, 'ugly ': 1, 'ugly': 1, 'freak': 1}"
AVALON,21,"{'con': 9, 'ugh': 5, 'off': 3, 'fuck': 2, 'trouble': 1, 'con ': 1, 'mess': 1, 'beast': 1}"
AVONDALE HEIGHTS,94,"{'ugh': 25, 'con': 14, 'ass': 14, 'shit': 10, 'off': 6, 'mean': 5, 'fuck': 4, 'sly': 3, 'dick': 2, 'sick': 2, 'beat': 2, 'dumb': 1, 'blind': 1, 'crazy': 1, 'stupid': 1, 'despicable': 1, 'sucker': 1, 'moron': 1, 'mess': 1, 'evil': 1, 'fat': 1, 'ignorant': 1, 'crap': 1, 'shame': 1, 'shade': 1, 'bitch': 1, 'brat': 1, 'freak': 1, 'nobody': 1, 'vile': 1, ' fool': 1, 'fool': 1, 'liar': 1}"
AVONSLEIGH,1,"{'freaked out': 1, 'freak': 1}"
BACCHUS MARSH,40,"{'off': 8, 'con': 6, 'ugh': 6, 'mean': 3, 'evil': 2, 'devil': 2, 'fuck': 2, 'jealous': 2, 'brat': 2, 'sick': 2, 'dick': 1, 'freak': 1, 'ass': 1, 'ugly ': 1, 'ugly': 1, 'beat': 1, 'ridiculous': 1, 'fake': 1, 'shame': 1}"
BADGER CREEK,9,"{'evil': 2, 'ass': 2, 'fat': 2, 'off': 2, 'ugh': 1, 'beat': 1, 'brat': 1, 'sick': 1}"
BALACLAVA,128,"{'off': 28, 'con': 23, 'ass': 23, 'ugh': 20, 'brat': 7, 'sly': 6, 'fuck': 6, 'beat': 4, 'shit': 3, 'dick': 2, 'babe': 2, 'sick': 2, 'bitch': 2, 'stupid': 2, 'crap': 1, 'butch': 1, 'beef': 1, 'combative': 1, 'loser': 1, 'loser ': 1, 'moron': 1, 'oldie': 1, 'perv': 1, 'bastard': 1, 'shitty ': 1, 'dumb': 1, 'dork': 1, 'go to hell': 1, 'rotten': 1, 'horrible': 1, 'mess': 1, 'thug': 1, 'smug': 1, 'mean': 1, 'rude': 1}"
